FECHA_CORTE,ANIO_EJEC,SECTOR,PLIEGO,UNIDAD_EJECUTORA,SEC_EJEC,PROGRAMA_PPTAL,TIPO_PROD_PROY,PRODUCTO_PROYECTO,TIPO_ACT_OBRA_ACCINV,ACT_OBRA_ACCINV,FUNCION,DIVISION_FN,GRUPO_FN,META,FINALIDAD,UNIDAD_MEDIDA,CANT_META_ANUAL,CANT_META_SEM,AVAN_FISICO_ANUAL,AVAN_FISICO_SEM,SEC_FUNC,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FUENTE_FINANC,RUBRO,CATEGORIA_GASTO,TIPO_TRANSACCION,GENERICA,SUBGENERICA,SUBGENERICA_DET,ESPECIFICA,ESPECIFICA_DET,MTO_PIA,MTO_MODIFICACIONES,MTO_PIM,MTO_CERTIFICADO,MTO_COMPRO_ANUAL,MTO_AT_COMP_01,MTO_AT_COMP_02,MTO_AT_COMP_03,MTO_AT_COMP_04,MTO_AT_COMP_05,MTO_AT_COMP_06,MTO_AT_COMP_07,MTO_AT_COMP_08,MTO_AT_COMP_09,MTO_AT_COMP_10,MTO_AT_COMP_11,MTO_AT_COMP_12,MTO_DEVENGA_01,MTO_DEVENGA_02,MTO_DEVENGA_03,MTO_DEVENGA_04,MTO_DEVENGA_05,MTO_DEVENGA_06,MTO_DEVENGA_07,MTO_DEVENGA_08,MTO_DEVENGA_09,MTO_DEVENGA_10,MTO_DEVENGA_11,MTO_DEVENGA_12,MTO_GIRADO_01,MTO_GIRADO_02,MTO_GIRADO_03,MTO_GIRADO_04,MTO_GIRADO_05,MTO_GIRADO_06,MTO_GIRADO_07,MTO_GIRADO_08,MTO_GIRADO_09,MTO_GIRADO_10,MTO_GIRADO_11,MTO_GIRADO_12,MTO_PAGADO_01,MTO_PAGADO_02,MTO_PAGADO_03,MTO_PAGADO_04,MTO_PAGADO_05,MTO_PAGADO_06,MTO_PAGADO_07,MTO_PAGADO_08,MTO_PAGADO_09,MTO_PAGADO_10,MTO_PAGADO_11,MTO_PAGADO_12,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9001.ACCIONES CENTRALES,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5000003.GESTION ADMINISTRATIVA,23.PROTECCION SOCIAL,006.GESTION,0008.ASESORAMIENTO Y APOYO,6,0000888.GESTION ADMINISTRATIVA,00248.REPORTE,0,6,0,6,9,AYACUCHO,HUAMANGA,MULTIDISTRITAL,50199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,"6.SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS",3.SEGUROS,99.OTROS SEGUROS DE  BIENES MUEBLES E INMUEBLES,0,32,32,31.33,31.33,0,0,0,0,0,0,0,0,0,0,20.46,10.87,0,0,0,0,0,0,0,0,0,0,20.46,10.87,0,0,0,0,0,0,0,0,0,0,0,31.33,0,0,0,0,0,0,0,0,0,0,20.46,20.46,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9001.ACCIONES CENTRALES,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5000003.GESTION ADMINISTRATIVA,23.PROTECCION SOCIAL,006.GESTION,0008.ASESORAMIENTO Y APOYO,20,0000888.GESTION ADMINISTRATIVA,00248.REPORTE,0,6,0,6,23,TACNA,TACNA,MULTIDISTRITAL,230199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,1.VIAJES,2.VIAJES DOMESTICOS,2.VIATICOS Y ASIGNACIONES POR COMISION DE SERVICIO,805,139,944,944,944,180,0,0,152,0,141,0,0,0,66,63,342,180,0,0,152,0,141,0,0,0,220,-91,342,180,0,0,85,67,141,0,0,0,220,-91,342,180,0,0,152,0,141,0,0,0,220,63,63,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9002.ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5002358.GESTION DE LAS PRESTACIONES SOCIALES,23.PROTECCION SOCIAL,051.ASISTENCIA SOCIAL,0114.DESARROLLO DE CAPACIDADES SOCIALES Y ECONOMICAS,4,0235454.MANTENIMIENTO Y OPERATIVIDAD DE LAS PLATAFORMAS DE SERVICIOS FIJOS (TAMBOS),00043.ESTABLECIMIENTO,0,16,0,16,41,AMAZONAS,CHACHAPOYAS,MULTIDISTRITAL,10199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,8.CONTRATO ADMINISTRATIVO DE SERVICIOS,1.CONTRATO ADMINISTRATIVO DE SERVICIOS,10.OTROS BONOS EXTRAORDINARIOS,0,8400,8400,8400,8400,0,0,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9001.ACCIONES CENTRALES,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5000003.GESTION ADMINISTRATIVA,23.PROTECCION SOCIAL,006.GESTION,0008.ASESORAMIENTO Y APOYO,1,0000888.GESTION ADMINISTRATIVA,00060.INFORME,0,6,0,6,4,LIMA,LIMA,LIMA,150101,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,"6.SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS",3.SEGUROS,2.SEGURO DE VEHICULOS,0,1523,1523,1522.71,1522.71,0,0,0,0,0,0,0,0,0,0,853.36,669.35,0,0,0,0,0,0,0,0,0,0,853.36,669.35,0,0,0,0,0,0,0,0,0,0,0,1522.71,0,0,0,0,0,0,0,0,0,0,853.36,853.36,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9001.ACCIONES CENTRALES,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5000003.GESTION ADMINISTRATIVA,23.PROTECCION SOCIAL,006.GESTION,0008.ASESORAMIENTO Y APOYO,7,0000888.GESTION ADMINISTRATIVA,00248.REPORTE,0,6,0,6,10,AYACUCHO,LUCANAS,MULTIDISTRITAL,50699,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,7.SERVICIOS PROFESIONALES Y TECNICOS,11.OTROS SERVICIOS,99.SERVICIOS DIVERSOS,8816,3966,12782,12781.1,12781.1,2000,0,170,0,93.1,506,269,566,170,0,0,9007,2000,0,170,0,93.1,506,269,566,170,0,0,9007,2000,0,170,0,93.1,506,269,566,170,0,0,9007,2000,0,170,0,93.1,506,269,566,170,0,0,0,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9002.ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5002358.GESTION DE LAS PRESTACIONES SOCIALES,23.PROTECCION SOCIAL,051.ASISTENCIA SOCIAL,0114.DESARROLLO DE CAPACIDADES SOCIALES Y ECONOMICAS,19,0235454.MANTENIMIENTO Y OPERATIVIDAD DE LAS PLATAFORMAS DE SERVICIOS FIJOS (TAMBOS),00043.ESTABLECIMIENTO,0,2,0,2,56,MADRE DE DIOS,TAMBOPATA,MULTIDISTRITAL,170199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,8.CONTRATO ADMINISTRATIVO DE SERVICIOS,1.CONTRATO ADMINISTRATIVO DE SERVICIOS,4.AGUINALDOS DE C.A.S.,1200,-133,1067,1066.67,1066.67,0,0,0,0,0,0,570,0,0,0,0,496.67,0,0,0,0,0,0,570,0,0,0,0,496.67,0,0,0,0,0,0,570,0,0,0,0,496.67,0,0,0,0,0,0,570,0,0,0,0,0,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9002.ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5002358.GESTION DE LAS PRESTACIONES SOCIALES,23.PROTECCION SOCIAL,051.ASISTENCIA SOCIAL,0114.DESARROLLO DE CAPACIDADES SOCIALES Y ECONOMICAS,4,0235454.MANTENIMIENTO Y OPERATIVIDAD DE LAS PLATAFORMAS DE SERVICIOS FIJOS (TAMBOS),00043.ESTABLECIMIENTO,0,16,0,16,41,AMAZONAS,CHACHAPOYAS,MULTIDISTRITAL,10199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,1.COMPRA DE BIENES,"3.COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES","1.COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES","3.LUBRICANTES, GRASAS Y AFINES",1779,-579,1200,1200,1200,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9002.ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5002358.GESTION DE LAS PRESTACIONES SOCIALES,23.PROTECCION SOCIAL,051.ASISTENCIA SOCIAL,0114.DESARROLLO DE CAPACIDADES SOCIALES Y ECONOMICAS,11,0235454.MANTENIMIENTO Y OPERATIVIDAD DE LAS PLATAFORMAS DE SERVICIOS FIJOS (TAMBOS),00043.ESTABLECIMIENTO,0,63,0,63,48,CUSCO,CUSCO,MULTIDISTRITAL,80199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,8.CONTRATO ADMINISTRATIVO DE SERVICIOS,1.CONTRATO ADMINISTRATIVO DE SERVICIOS,4.AGUINALDOS DE C.A.S.,31800,1677,33477,33476.67,33476.67,0,0,0,0,0,0,16553.33,0,0,0,0,16923.34,0,0,0,0,0,0,16553.33,0,0,0,0,16923.34,0,0,0,0,0,0,16290,263.33,0,0,0,16923.34,0,0,0,0,0,0,16553.33,0,0,0,0,0,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9001.ACCIONES CENTRALES,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5000003.GESTION ADMINISTRATIVA,23.PROTECCION SOCIAL,006.GESTION,0008.ASESORAMIENTO Y APOYO,10,0000888.GESTION ADMINISTRATIVA,00248.REPORTE,0,6,0,6,13,HUANCAVELICA,HUANCAVELICA,MULTIDISTRITAL,90199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,2.CONTRATACION DE SERVICIOS,1.VIAJES,2.VIAJES DOMESTICOS,99.OTROS GASTOS,3910,-3101,809,809,809,200,75,63,72,48,55,40,63,43,72,36,42,200,75,63,72,48,55,40,63,43,72,36,42,200,75,63,72,48,55,40,63,43,30,78,42,200,75,63,72,48,55,40,63,43,72,36,36,
20230201,2023,40. DESARROLLO E INCLUSION SOCIAL,040. MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,008. PROGRAMA NACIONAL PLATAFORMAS DE ACCION  PARA LA INCLUSION SOCIAL - PAIS,1674,9002.ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,3.PRODUCTO,3999999.SIN PRODUCTO,5.ACTIVIDAD,5002358.GESTION DE LAS PRESTACIONES SOCIALES,23.PROTECCION SOCIAL,051.ASISTENCIA SOCIAL,0114.DESARROLLO DE CAPACIDADES SOCIALES Y ECONOMICAS,7,0235454.MANTENIMIENTO Y OPERATIVIDAD DE LAS PLATAFORMAS DE SERVICIOS FIJOS (TAMBOS),00043.ESTABLECIMIENTO,0,17,0,17,44,AREQUIPA,AREQUIPA,MULTIDISTRITAL,40199,1.RECURSOS ORDINARIOS,00.RECURSOS ORDINARIOS,5.GASTOS CORRIENTES,2.GASTOS PRESUPUESTARIOS,3.BIENES Y SERVICIOS,1.COMPRA DE BIENES,5.MATERIALES Y  UTILES,"3.ASEO, LIMPIEZA Y COCINA","1.ASEO, LIMPIEZA Y TOCADOR",45088,-25042,20046,20045.04,20045.04,0,0,0,0,9679.75,2563.35,684.04,0,7117.9,0,0,0,0,0,0,0,6882.58,4193.35,1851.21,0,7117.9,0,0,0,0,0,0,0,6882.58,3760.05,1664.66,619.85,0,7117.9,0,0,0,0,0,0,9679.75,2563.35,684.04,0,7117.9,0,0,0,
