PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
1,2,2,6,6,50199,17,0
1,2,2,20,6,230199,4,805
2,6,5,4,16,10199,20,0
1,2,2,1,6,150101,17,0
1,2,2,7,6,50699,19,8816
2,6,5,19,2,170199,20,1200
2,6,5,4,16,10199,11,1779
2,6,5,11,63,80199,20,31800
1,2,2,10,6,90199,4,3910
2,6,5,7,17,40199,15,45088
1,2,2,5,6,40199,11,160
2,6,5,6,36,30199,7,0
1,2,2,17,6,200199,1,2165
2,6,5,7,17,40199,19,0
2,6,5,8,32,50101,17,17771
2,6,5,7,17,40199,17,9441
1,2,2,16,6,190199,19,2300
2,6,5,23,61,210199,7,192697
2,6,5,15,10,130101,20,4200
2,6,5,22,12,200199,20,0
2,6,5,23,61,210199,13,418000
2,6,5,4,16,10199,13,6980
2,6,5,25,4,230199,11,855
1,2,2,3,6,20199,20,600
2,5,5,18,0,210210,8,0
1,2,2,12,6,120199,14,30500
2,6,5,5,19,20199,19,0
2,6,5,7,17,40199,13,15580
2,5,5,1,0,100604,8,156811
2,6,5,12,51,90199,7,115294
1,2,2,13,6,130199,7,121346
2,6,5,16,1,140199,9,0
2,6,5,14,26,120101,20,0
2,6,5,20,2,180199,23,145
1,2,2,22,6,150101,20,1800
1,2,2,12,6,120199,23,11039
2,6,5,7,17,40199,17,3240
2,6,5,4,16,10199,17,16213
2,6,5,27,6,150101,20,0
2,6,5,23,61,210199,21,233
2,6,5,22,12,200199,18,7249
2,6,5,19,2,170199,20,4666
1,2,2,21,6,250199,7,0
1,2,2,1,6,150101,1,875
1,2,2,20,6,230199,14,24000
2,6,5,19,2,170199,7,1140
2,6,5,26,6,250199,11,553
2,6,5,13,41,100101,20,0
2,6,5,10,20,60199,21,191
1,2,2,10,6,90199,14,3990
1,2,2,17,6,200199,4,4178
1,2,2,1,6,150101,22,1178750
1,2,2,1,6,150101,19,11671
1,2,2,1,6,150101,19,7659
2,6,5,26,6,250199,13,0
2,6,5,9,19,50601,11,813
2,6,5,16,1,140199,11,68
2,6,5,23,61,210199,17,55437
2,6,5,11,63,80199,15,97611
2,6,5,24,4,220199,17,2221
1,2,2,10,6,90199,9,0
2,6,5,26,6,250199,13,9010
1,2,2,15,6,170199,23,920
2,6,5,18,40,160199,13,346379
1,2,2,19,6,220199,22,22998
1,2,2,13,6,130199,19,16252
1,2,2,19,6,220199,19,4600
1,2,2,8,6,60199,4,1702
2,6,5,25,4,230199,20,6999
1,2,2,9,6,80199,4,200
2,6,5,24,4,220199,11,0
1,2,2,11,6,100199,7,2768
2,6,5,3,0,150101,20,0
1,2,2,3,6,20199,4,460
1,2,2,20,6,230199,20,2333
1,2,2,7,6,50699,9,0
1,2,2,13,6,130199,21,51
1,2,2,18,6,210199,19,46763
2,6,5,15,10,130101,22,251106
2,6,5,21,9,190199,19,0
1,2,2,13,6,130199,22,74514
2,6,5,5,19,20199,9,14050
2,6,5,4,16,10199,15,40047
1,2,2,19,6,220199,15,718
1,2,2,17,6,200199,7,1713
1,2,2,13,6,130199,20,0
2,6,5,25,4,230199,13,1302
1,2,2,9,6,80199,20,600
2,6,5,11,63,80199,17,12302
1,2,2,20,6,230199,7,976
1,2,2,14,6,160199,22,112230
2,6,5,4,16,10199,7,124583
2,6,5,14,26,120101,19,0
1,2,2,4,6,30199,20,4666
2,6,5,9,19,50601,16,0
1,2,2,7,6,50699,20,0
2,6,5,7,17,40199,17,6461
2,5,5,12,0,160206,8,0
2,6,5,25,4,230199,11,9608
2,6,5,10,20,60199,23,2345
1,2,2,7,6,50699,17,0
1,2,2,2,6,10199,15,1100
1,2,2,6,6,50199,22,80033
2,6,5,13,41,100101,13,156000
1,2,2,22,6,150101,20,0
2,6,5,11,63,80199,20,1944000
1,2,2,16,6,190199,14,33600
2,6,5,22,12,200199,9,0
1,4,3,1,6,150101,15,900
1,2,2,3,6,20199,17,153
2,6,5,27,6,150101,20,13200
1,2,2,3,6,20199,23,1725
2,6,5,8,32,50101,19,0
1,2,2,8,6,60199,15,1719
2,6,5,20,2,180199,11,82
2,6,5,23,61,210199,19,0
2,6,5,22,12,200199,20,4800
1,2,2,11,6,100199,9,552
1,2,2,1,6,150101,17,170000
2,6,5,16,1,140199,13,3000
1,2,2,1,6,150101,15,0
2,6,5,18,40,160199,17,19992
1,2,2,10,6,90199,19,6669
1,2,2,2,6,10199,1,1073
2,6,5,17,1,150303,19,945
2,6,5,3,0,150101,4,172782
2,6,5,25,4,230199,17,2221
2,6,5,1,61303,150199,9,0
2,6,5,13,41,100101,17,61826
1,1,1,1,6,150101,20,0
2,6,5,10,20,60199,15,30988
2,6,5,26,6,250199,17,3332
2,6,5,16,1,140199,17,1829
1,2,2,6,6,50199,19,1917
2,6,5,21,9,190199,20,324000
1,2,2,17,6,200199,20,0
2,6,5,17,1,150303,7,0
1,3,2,1,6,150101,4,700
2,6,5,12,51,90199,13,28829
2,5,5,10,0,130905,8,0
1,2,2,14,6,160199,15,2253
2,6,5,13,41,100101,15,84192
2,6,5,23,61,210199,17,33875
2,6,5,6,36,30199,11,1971
2,6,5,20,2,180199,9,0
2,6,5,11,63,80199,13,41248
1,2,2,15,6,170199,4,129
2,6,5,18,40,160199,15,55778
1,2,2,10,6,90199,22,184905
2,6,5,5,19,20199,7,0
1,2,2,15,6,170199,15,25329
2,6,5,9,19,50601,17,5987
2,6,5,19,2,170199,19,0
1,2,2,23,6,150101,7,44171
2,6,5,10,20,60199,17,20440
2,6,5,5,19,20199,17,2155
1,2,2,12,6,120199,9,361
1,2,2,17,6,200199,19,6452
1,2,2,6,6,50199,4,767
2,6,5,20,2,180199,17,1111
2,6,5,13,41,100101,22,1008457
1,2,2,12,6,120199,1,1533
2,6,5,8,32,50101,17,0
2,6,5,14,26,120101,17,14439
1,2,2,18,6,210199,14,35300
2,6,5,24,4,220199,9,1448
1,2,2,20,6,230199,7,121346
2,6,5,23,61,210199,19,50788
2,6,5,12,51,90199,20,0
1,2,2,14,0,160199,19,0
1,3,2,1,0,150101,19,0
1,2,2,21,0,250199,7,200
1,2,2,20,0,230199,21,161
1,2,2,13,0,130199,13,78
1,2,2,10,0,90199,13,2683
1,2,2,5,0,40199,13,1917
1,2,2,6,0,50199,7,1496
2,6,5,25,0,230199,19,6424
2,6,5,26,0,250199,9,3847
2,6,5,15,0,130101,21,50
2,6,5,14,0,120101,21,531
2,6,5,7,0,40199,13,1082
2,6,5,15,0,130101,7,5700
2,6,5,13,0,100101,15,4995
2,6,5,10,0,60199,21,3022
2,6,5,10,0,60199,21,269
2,6,5,5,0,20199,19,13715
1,2,2,20,0,230199,13,2568
2,6,5,26,0,250199,7,5794
2,6,5,7,0,40199,15,7380
2,6,5,9,0,50601,19,13259
2,6,5,8,0,50101,19,34303
2,6,5,8,0,50101,15,18291
2,6,5,24,0,220199,21,604
2,6,5,17,1,150303,23,0
2,6,5,16,1,140199,9,179
1,2,2,20,6,230199,15,1798
1,2,2,7,6,50699,7,575
1,2,2,6,6,50199,17,230
2,6,5,10,20,60199,19,39495
2,6,5,21,9,190199,23,0
1,4,3,1,6,150101,20,4200
2,6,5,24,4,220199,17,720
2,6,5,17,1,150303,13,4000
1,3,2,1,6,150101,20,0
2,6,5,4,16,10199,17,1260
1,2,2,18,6,210199,4,1012
2,6,5,16,1,140199,11,4320
1,2,2,14,6,160199,15,3887
1,2,2,5,6,40199,20,0
1,0,0,1,6,150101,20,0
1,2,2,5,6,40199,20,600
1,2,2,1,6,150101,4,1444
2,6,5,25,4,230199,20,0
1,2,2,22,6,150101,4,16806
2,6,5,9,19,50601,17,10551
1,2,2,11,6,100199,20,108000
0,7,4,1,12429,150101,15,15000
1,2,2,23,6,150101,20,3600
2,6,5,15,10,130101,20,0
1,2,2,7,6,50699,22,80033
1,2,2,3,6,20199,7,732
1,2,2,1,6,150101,12,350000
2,6,5,20,2,180199,15,3099
1,2,2,20,6,230199,20,0
2,6,5,8,32,50101,13,24022
2,6,5,9,19,50601,15,40553
2,6,5,12,51,90199,9,5148
2,6,5,15,10,130101,19,4036
2,6,5,14,26,120101,19,15398
1,2,2,17,6,200199,15,1985
2,6,5,14,26,120101,18,18848
1,2,2,2,6,10199,20,600
2,6,5,11,63,80199,15,15669
1,2,2,23,6,150101,20,474000
2,6,5,20,2,180199,17,3194
2,6,5,13,41,100101,7,0
2,6,5,15,10,130101,17,6109
2,6,5,10,20,60199,11,44048
1,2,2,16,6,190199,4,550
1,0,0,1,6,150101,20,714000
1,2,2,11,6,100199,19,27184
